d	drwxr-xr-x	root	root	1024	2026-05-26 14:51:12.0000000000	/programs/andyl/onrobot_rtde_export
f	-rw-r--r--	root	root	121112	2026-05-23 18:19:43.0000000000	/programs/andyl/wait001.script
f	-rw-r--r--	root	root	121112	2026-05-24 16:52:57.0000000000	/programs/andyl/1.script
f	-rw-r--r--	root	root	121112	2026-05-25 16:03:55.0000000000	/programs/andyl/2.script
f	-rw-r--r--	root	root	409	2026-05-26 14:55:28.0000000000	/programs/andyl/onrobot_rtde_export/onrobot_ft_rtde_export.script
f	-rw-r--r--	root	root	45	2026-05-23 18:19:43.0000000000	/programs/andyl/wait001.txt
f	-rw-r--r--	root	root	45	2026-05-24 16:52:58.0000000000	/programs/andyl/1.txt
f	-rw-r--r--	root	root	45	2026-05-25 16:03:55.0000000000	/programs/andyl/2.txt
f	-rw-r--r--	root	root	661	2026-05-24 10:46:20.0000000000	/programs/andyl/1.old1
f	-rw-r--r--	root	root	685	2026-05-25 16:03:55.0000000000	/programs/andyl/2.urp
f	-rw-r--r--	root	root	686	2026-05-24 16:52:58.0000000000	/programs/andyl/1.urp
f	-rw-r--r--	root	root	690	2026-05-23 18:19:43.0000000000	/programs/andyl/wait001.urp
f	-rw-r--r--	root	root	808	2026-05-24 16:52:57.0000000000	/programs/andyl/1.old0
