sample_index,t_s,latency_ms,status,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm,fx_raw,fy_raw,fz_raw,tx_raw,ty_raw,tz_raw,force_norm_n
0,0.00244905,0.43732,0,0.33999999999999997,3.08,-32.519999999999996,-0.056999999999999995,-0.059000000000000004,0.0676,17,154,-1626,-57,-59,104,32.667298633342796
1,0.002879016,0.401673,0,0.22,3.04,-32.42,-0.048,-0.051000000000000004,0.060450000000000004,11,152,-1621,-48,-51,93,32.562960553364924
14,0.006709024,0.27205,0,0.32,3.06,-32.58,-0.055,-0.054,0.06369999999999999,16,153,-1629,-55,-54,98,32.72495072570774
29,0.010736401,0.280876,0,0.27999999999999997,3.06,-32.300000000000004,-0.058,-0.061,0.06695000000000001,14,153,-1615,-58,-61,103,32.44583178160178
44,0.014736969,0.256901,0,0.3,3.04,-32.300000000000004,-0.059000000000000004,-0.06,0.0676,15,152,-1615,-59,-60,104,32.4441304398808
59,0.01874427,0.288972,0,0.36,3.1199999999999997,-32.82,-0.059000000000000004,-0.055999999999999994,0.06565,18,156,-1641,-59,-56,101,32.96993175607132
73,0.022638638,0.264475,0,0.32,3.18,-32.32,-0.066,-0.061,0.0676,16,159,-1616,-66,-61,104,32.4776415399887
89,0.026866241,0.28829,0,0.3,3.1,-32.16,-0.063,-0.062,0.0676,15,155,-1608,-63,-62,104,32.31045651178577
104,0.030885344,0.268333,0,0.3,3.1,-32.379999999999995,-0.059000000000000004,-0.059000000000000004,0.06695000000000001,15,155,-1619,-59,-59,103,32.529438974565785
118,0.034679384,0.263704,0,0.3,3.1199999999999997,-32.42,-0.063,-0.062,0.0676,15,156,-1621,-63,-62,104,32.57116516184215
133,0.038660916,0.257312,0,0.36,3.08,-32.46,-0.063,-0.064,0.0676,18,154,-1623,-63,-64,104,32.6077843466863
148,0.04265383,0.265819,0,0.27999999999999997,3.06,-32.48,-0.058,-0.055,0.065,14,153,-1624,-58,-55,100,32.62502720305379
163,0.046667081,0.268533,0,0.32,3.06,-32.74,-0.062,-0.058,0.0676,16,153,-1637,-62,-58,104,32.88424546800489
178,0.050687706,0.257142,0,0.4,3.02,-32.440000000000005,-0.065,-0.066,0.06955,20,151,-1622,-65,-66,107,32.582725484526314
193,0.054687262,0.262502,0,0.4,3.0,-32.32,-0.065,-0.068,0.07150000000000001,20,150,-1616,-65,-68,110,32.46139861435425
208,0.05869302,0.268634,0,0.27999999999999997,2.98,-32.12,-0.056999999999999995,-0.06,0.0676,14,149,-1606,-57,-60,104,32.25915683957037
223,0.062708305,0.270968,0,0.2,3.02,-32.379999999999995,-0.051000000000000004,-0.051000000000000004,0.065,10,151,-1619,-51,-51,100,32.52114389132091
238,0.06679298,0.269906,0,0.33999999999999997,3.06,-32.16,-0.059000000000000004,-0.062,0.0689,17,153,-1608,-59,-62,106,32.30703948058379
253,0.070861575,0.289963,0,0.32,3.02,-32.28,-0.06,-0.063,0.0689,16,151,-1614,-60,-63,106,32.42254154134127
