sample_index,t_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
0,0.5752926809946075,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5832731599948602,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5912848659936571,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5992844099964714,0.0,0.0,0.0,0.0,0.0,0.0
4,0.6073212939954828,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6152629099960905,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6233191089995671,0.0,0.0,0.0,0.0,0.0,0.0
7,0.631250756996451,0.0,0.0,0.0,0.0,0.0,0.0
8,0.6392578550003236,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6472616669925628,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6552758280013222,0.0,0.0,0.0,0.0,0.0,0.0
11,0.663263239999651,0.0,0.0,0.0,0.0,0.0,0.0
12,0.6712596180004766,0.0,0.0,0.0,0.0,0.0,0.0
13,0.6792731680034194,0.0,0.0,0.0,0.0,0.0,0.0
14,0.6872569730039686,0.0,0.0,0.0,0.0,0.0,0.0
15,0.6952780669962522,0.0,0.0,0.0,0.0,0.0,0.0
16,0.7032535860053031,0.0,0.0,0.0,0.0,0.0,0.0
17,0.7112955789925763,0.0,0.0,0.0,0.0,0.0,0.0
18,0.7192634439998074,0.0,0.0,0.0,0.0,0.0,0.0
19,0.7272586100007175,0.0,0.0,0.0,0.0,0.0,0.0
20,0.7352590259979479,0.0,0.0,0.0,0.0,0.0,0.0
21,0.7432628179958556,0.0,0.0,0.0,0.0,0.0,0.0
22,0.7512551079998957,0.0,0.0,0.0,0.0,0.0,0.0
23,0.7592855599941686,0.0,0.0,0.0,0.0,0.0,0.0
24,0.7672539560007863,0.0,0.0,0.0,0.0,0.0,0.0
25,0.7752454650035361,0.0,0.0,0.0,0.0,0.0,0.0
26,0.7832555589993717,0.0,0.0,0.0,0.0,0.0,0.0
27,0.7912594609952066,0.0,0.0,0.0,0.0,0.0,0.0
28,0.7992795030004345,0.0,0.0,0.0,0.0,0.0,0.0
29,0.8072710520063993,0.0,0.0,0.0,0.0,0.0,0.0
30,0.815258974005701,0.0,0.0,0.0,0.0,0.0,0.0
31,0.8232680060027633,0.0,0.0,0.0,0.0,0.0,0.0
32,0.8312399389978964,0.0,0.0,0.0,0.0,0.0,0.0
33,0.8392327500041574,0.0,0.0,0.0,0.0,0.0,0.0
34,0.8472609780001221,0.0,0.0,0.0,0.0,0.0,0.0
35,0.8552316580025945,0.0,0.0,0.0,0.0,0.0,0.0
36,0.8632384259981336,0.0,0.0,0.0,0.0,0.0,0.0
