segment,zeroed,duration_label,purpose,axis,mean,std,min,p1,p50,p99,max,abs_gt_1,abs_gt_2,abs_gt_5,start_5s_mean,end_5s_mean,delta_end_minus_start,linear_slope
S00_prezero_60s,No,60 s,pre-zero baseline,Fx,0.12630685895959393,0.22986110185185823,-0.6352693968986389,-0.3911927545050887,0.12537789645413053,0.6412743540877044,0.9654350995434327,0,0,0,0.2289106419714261,0.08703679379195194,-0.14187384817947418,-0.002786086316676238
S00_prezero_60s,No,60 s,pre-zero baseline,Fy,0.6664476462290384,0.28323220928008014,-0.3632912536117776,-0.009986964796407798,0.6747094373928622,1.3256343020821926,1.6346775123071506,136,0,0,0.5277964115364501,0.6940031443847443,0.16620673284829424,0.0021231372661084658
S00_prezero_60s,No,60 s,pre-zero baseline,Fz,-5.856607132542741,0.2337705195915929,-6.526101158102487,-6.38567528980383,-5.855579449109856,-5.323857943748058,-4.802527053078762,1200,1200,1199,-5.704634694131156,-6.0163062081721055,-0.31167151404094984,-0.00536292314885398
S00_prezero_60s,No,60 s,pre-zero baseline,|F|,5.907029212596077,0.23380363688345426,4.884589695130752,5.375053204312555,5.910378121591876,6.424811990899773,6.589601336583214,1200,1200,1199,5.744345290988551,6.066385281926281,0.3220399909377303,0.0054692872196957214
S01_rezero_60s,Yes,60 s,post-zero short drift,Fx,-0.04455910178143029,0.2413305934451102,-0.8322225003625461,-0.6350810260397758,-0.03840358105719682,0.5283171846531141,0.6528657089060763,0,0,0,0.086128436659411,-0.18932831818522883,-0.27545675484463983,-0.004931891983796011
S01_rezero_60s,Yes,60 s,post-zero short drift,Fy,0.32272531218356326,0.28102153571878236,-0.5143316185585731,-0.2952289676181338,0.317322867299493,0.993784691927734,1.229634540138482,10,0,0,0.3179165426623395,0.37246236961558665,0.05454582695324717,0.0016251511888852404
S01_rezero_60s,Yes,60 s,post-zero short drift,Fz,-0.7828877857622367,0.25516982109274766,-1.867550346745284,-1.3870425394417387,-0.7787226986938507,-0.20669276271821121,0.04328263885623489,226,0,0,-0.5006935656903908,-1.0452476366593075,-0.5445540709689167,-0.007062564250480257
S01_rezero_60s,Yes,60 s,post-zero short drift,|F|,0.927142015790021,0.24856247664295203,0.08432001003105181,0.3740577024436179,0.9196175556994748,1.5261429913761322,1.8927530173213163,455,0,0,0.6944788560324077,1.1889901906188196,0.49451133458641194,0.006814888771573254
S02_rezero_600s,Yes,600 s,post-zero mid drift,Fx,-0.9437955323303194,0.46130742044078227,-2.376449860645955,-1.8870654594791565,-0.9528407820272773,0.03180933090689613,0.38059642633072,5565,44,0,-0.20179321623143875,-1.5505903404335788,-1.34879712420214,-0.002248805469104842
S02_rezero_600s,Yes,600 s,post-zero mid drift,Fy,0.13652529366691307,0.3257421383860287,-1.0294485849577306,-0.5952418166826495,0.12985957444829974,0.9037003465606384,1.4433669160750573,52,0,0,-0.0357687608381972,0.43201543278873705,0.46778419362693424,0.0007928302786405288
S02_rezero_600s,Yes,600 s,post-zero mid drift,Fz,-2.537563172354781,1.2099630936282422,-5.523576808435538,-4.928519790712629,-2.6030635082670734,-0.3528551496904376,0.20206086363790587,10397,7729,74,-0.4800809209388896,-4.694177363408044,-4.214096442469154,-0.0066847681186902996
S02_rezero_600s,Yes,600 s,post-zero mid drift,|F|,2.749090517862063,1.2546077099101987,0.14591488150146723,0.5243475176032807,2.804958294954143,5.225856795355571,5.7856246968405864,10833,8184,334,0.6401618716952338,4.976368177291274,4.33620630559604,0.006965301870841356
S03_rezero_1800s,Yes,1800 s,post-zero long drift,Fx,-0.8634441041833177,0.647051752851168,-2.440275359921446,-2.011396667300927,-0.9576815755750481,0.5739549683931529,1.1252358066875547,17277,398,0,0.39753763234929457,-1.7853040625177912,-2.182841694867086,-0.0011332189502152247
S03_rezero_1800s,Yes,1800 s,post-zero long drift,Fy,0.9677218407668527,0.493282708757181,-0.7081831974859994,-0.12290269635923201,0.9628750991796078,2.0419750195474315,2.6303850431377134,17061,468,0,0.16112278938800448,1.599480030651495,1.4383572412634904,0.0007538974670529877
S03_rezero_1800s,Yes,1800 s,post-zero long drift,Fz,-5.3584213156396485,2.899219439594845,-10.80578070693742,-9.99037787770255,-5.635391874023133,0.04450885501545881,0.9761348285489568,33002,29604,20375,-0.055195916239702915,-10.062688228635267,-10.007492312395565,-0.005526607915417224
S03_rezero_1800s,Yes,1800 s,post-zero long drift,|F|,5.563225772422846,2.9176525570480707,0.06587234874915579,0.42626044120610895,5.812503322846771,10.262261843348012,11.161431538575773,33533,30178,20869,0.6620199536190029,10.350824977884642,9.688805024265639,0.00557176252430034
