sample_index,t_s,latency_ms,status,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm,fx_raw,fy_raw,fz_raw,tx_raw,ty_raw,tz_raw
0,0.002427449,0.417108,0,0.5,3.1,-32.4,-0.06899999999999999,-0.06899999999999999,0.07150000000000001,25,155,-1620,-69,-69,110
1,0.002852783,0.404615,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
2,0.003124941,0.264033,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
3,0.003406416,0.276135,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
4,0.003709372,0.298578,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
5,0.003983193,0.269804,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
6,0.004251794,0.264814,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
7,0.004530845,0.275334,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
8,0.004834271,0.299890,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
9,0.005113041,0.274793,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
10,0.005387964,0.271507,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
11,0.005660472,0.268761,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
12,0.005951285,0.287066,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
13,0.006222722,0.267910,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
14,0.006503355,0.271907,0,0.4,3.08,-32.74,-0.056999999999999995,-0.058,0.06695000000000001,20,154,-1637,-57,-58,103
15,0.006787826,0.277778,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
16,0.007086894,0.292476,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
17,0.007359633,0.266898,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
18,0.007637241,0.272078,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
19,0.007903007,0.260236,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
20,0.008210952,0.302074,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
21,0.008483089,0.265926,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
22,0.008747783,0.259213,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
23,0.009014301,0.263061,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
24,0.009282211,0.263803,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
25,0.009547255,0.261167,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
26,0.009826466,0.275514,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
27,0.010091671,0.260356,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
28,0.010371363,0.276175,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
29,0.010664129,0.289099,0,0.45999999999999996,3.1,-32.84,-0.061,-0.066,0.07150000000000001,23,155,-1642,-61,-66,110
30,0.010952998,0.285532,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
31,0.011226920,0.270365,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
32,0.011483879,0.253243,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
33,0.011757059,0.269764,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
34,0.012031501,0.270876,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
35,0.012300844,0.265947,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
36,0.012582860,0.278670,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
37,0.012852924,0.266748,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
38,0.013121655,0.265375,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
39,0.013379647,0.254686,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
40,0.013639832,0.256519,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
41,0.013898595,0.255116,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
42,0.014169831,0.267870,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
43,0.014456787,0.283710,0,0.42,3.04,-32.74,-0.061,-0.065,0.06955,21,152,-1637,-61,-65,107
44,0.014732842,0.272819,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
45,0.015007214,0.269944,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
46,0.015271026,0.259865,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
47,0.015538144,0.263772,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
48,0.015835479,0.294049,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
49,0.016108969,0.270254,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
50,0.016369906,0.257691,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
51,0.016627667,0.254465,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
52,0.016886090,0.255046,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
53,0.017154430,0.264644,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
54,0.017420898,0.262971,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
55,0.017710498,0.286374,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
56,0.017974841,0.261217,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
57,0.018257619,0.279572,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
58,0.018571104,0.310179,0,0.36,3.08,-32.66,-0.058,-0.059000000000000004,0.0676,18,154,-1633,-58,-59,104
59,0.018845115,0.270805,0,0.3,2.98,-32.92,-0.044000000000000004,-0.045,0.0598,15,149,-1646,-44,-45,92
