sample_index,t_s,latency_ms,status,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm,fx_raw,fy_raw,fz_raw,tx_raw,ty_raw,tz_raw
0,0.002566440,0.463154,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
1,0.003056465,0.453627,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
2,0.003518547,0.438879,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
3,0.003957997,0.416757,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
4,0.004523673,0.543674,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
5,0.004971349,0.425494,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
6,0.005386023,0.392513,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
7,0.005811517,0.413882,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
8,0.006121866,0.307103,0,0.24,2.98,-32.9,-0.048,-0.047,0.062400000000000004,12,149,-1645,-48,-47,96
9,0.006525249,0.400096,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
10,0.006810893,0.281977,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
11,0.007087058,0.272388,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
12,0.007362923,0.272439,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
13,0.007620484,0.254295,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
14,0.007879427,0.255928,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
15,0.008146135,0.263372,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
16,0.008462455,0.312964,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
17,0.008738691,0.272669,0,0.44,3.04,-32.74,-0.058,-0.059000000000000004,0.0676,22,152,-1637,-58,-59,104
