sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,onrobot_fx_n,onrobot_fy_n,onrobot_fz_n,onrobot_tx_nm,onrobot_ty_nm,onrobot_tz_nm
0,0.007577788004709873,-0.40269726837114717,-0.5110874275322937,-0.9259927619617127,0.034996523026911024,-0.009764888188800908,0.0038910645438495193,0.11158199999999979,0.018672000005171014,-0.32333899999970145,-0.003632999999999999,-0.002348000000020518,0.001282999999962452
1,0.015685115999076515,-0.01901010231290708,-0.36090475888688084,-0.8036039178563016,0.0218322244658668,-0.01086720290281166,-0.0047782929579003285,0.11158199999999974,0.028672000006770282,-0.4233399999995415,-0.0036330000000000004,0.0016520000000114668,-0.000716999999973578
2,0.02368360000400571,-0.12289009638788874,-0.8032527099958998,-0.5414997658420053,0.03956786684030969,-0.004433173837371734,0.006380781082010175,0.041581999999999675,0.03867200000836953,-0.5233399999993816,0.003366999999999997,0.008652000000075436,-0.004716999999861635
3,0.03155386500293389,-0.25460697282649364,-0.6863716131863337,-0.5298628431902733,0.03616867487495866,-0.008245294500427665,0.005323628959366623,0.011581999999999728,0.018672000006930208,-0.4333399999997014,0.004366999999999998,0.007652000000059445,-0.0037169999998776277
4,0.039713470003334805,-0.28132137104900634,-0.5327605597380196,-0.7751774063957858,0.036056889417355166,-0.018668266661728414,0.00709454347465498,0.10158199999999977,0.04867200000597067,-0.37334099999922166,-0.004632999999999998,-0.001348000000036511,0.0022829999999784446
5,0.047687158003100194,-0.36992452917337837,-0.9101387522208886,-0.6973607021148344,0.04397216798536146,-0.005922601416774967,0.00032805467627376376,0.09158199999999989,0.05867200000293207,-0.18333999999906175,-0.005632999999999998,-0.002348000000036511,0.002282999999962453
6,0.05601880500034895,-0.3444395034686638,-0.8500554760120272,-0.7329130022678917,0.05105419142157777,-0.01717531790553131,0.014001870424121581,0.11158199999999979,0.05867200000533095,-0.3333399999990618,-0.005632999999999998,-0.003348000000036511,0.0022829999999464602
7,0.06359968899778323,-0.2310905453376976,-0.8052318947136698,-0.8102267730316192,0.0399277715502659,-0.010042301895717167,0.00815118042459945,0.09158199999999975,0.04867200000629049,-0.3933389999992217,-0.002633,0.0006519999999954741,0.00028300000001042877
8,0.0717604060046142,-0.31448714840213765,-0.2426774069783721,-1.508897315758527,-7.192020940253023e-05,0.020410796128756584,-0.012571657957220178,0.1315819999999997,0.07867200000741001,-0.4633409999987419,-0.004633,0.002651999999995474,0.0002830000000424151
9,0.07969015200069407,-0.2791496333226782,-0.7674480437295061,-0.7860992198684269,0.0420179651515791,-0.0039839890993066665,0.006833778409833067,0.13158199999999973,0.09867200000677027,-0.42333999999842203,-0.006632999999999999,-0.0003480000000205185,0.0012829999999944388
