sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
0,0.006349957,0.0142328761351,-3.82036113634,-8.84098583074,0.141494970258,-0.00933033734727,0.00215826300916,0,0,0,0,0,0,0.101582,0.118672000001,-0.0633389999981,0.001367,0.00465200000003,-0.00171699999993
1,0.007636835,-0.56703218686,-4.22746333939,-9.06731200412,0.144458147769,-0.0284127036073,0.00687275578964,0,0,0,0,0,0,0.121582,0.0986720000021,-0.133338999998,0.001367,0.00165200000001,-0.000716999999974
2,0.009661963,-0.329418982374,-4.06565844948,-9.16626189387,0.152626539679,-0.0131672091097,0.00291233960872,0,0,0,0,0,0,0.121582,0.0986720000021,-0.133338999998,0.001367,0.00165200000001,-0.000716999999974
3,0.011638420,0.196411351594,-4.10710484553,-9.15007362139,0.150825259289,-0.00347094397518,-0.00122432768874,0,0,0,0,0,0,0.121582,0.0986720000021,-0.133338999998,0.001367,0.00165200000001,-0.000716999999974
4,0.013620878,-0.542522137724,-3.9201046256,-9.14473709126,0.142048055026,-0.0194500258487,-0.000778412630268,0,0,0,0,0,0,0.121582,0.0986720000021,-0.133338999998,0.001367,0.00165200000001,-0.000716999999974
5,0.015650685,0.338549496481,-3.85801689454,-9.33573433473,0.142677214094,-0.00179082279257,0.00128066165869,0,0,0,0,0,0,0.061582,0.0886720000002,-0.0133399999986,0.005367,0.00565200000003,-0.00171699999991
6,0.017642190,-0.278334151626,-4.08391491129,-9.08702711276,0.154673582883,-0.0208289753003,0.00672499272767,0,0,0,0,0,0,0.061582,0.0886720000002,-0.0133399999986,0.005367,0.00565200000003,-0.00171699999991
7,0.019641099,0.0468738275141,-4.03511533694,-9.13132361466,0.153053601945,-0.0108486112934,0.00088591542044,0,0,0,0,0,0,0.061582,0.0886720000002,-0.0133399999986,0.005367,0.00565200000003,-0.00171699999991
8,0.021635440,-0.0478348136756,-3.69017613839,-9.28712685548,0.133237737388,-0.00670933231569,-0.00720049636646,0,0,0,0,0,0,0.061582,0.0886720000002,-0.0133399999986,0.005367,0.00565200000003,-0.00171699999991
9,0.023638968,0.107266648398,-4.29657142141,-9.12786940997,0.151697415785,0.00144140334024,0.000911933279136,0,0,0,0,0,0,0.121582,0.128672000004,-0.223338999998,0.000367,0.00265200000001,-0.000716999999958
10,0.025646032,-0.196490814617,-3.88655215323,-8.91602010868,0.143064771048,-0.021614804871,-0.000465799462066,0,0,0,0,0,0,0.121582,0.128672000004,-0.223338999998,0.000367,0.00265200000001,-0.000716999999958
11,0.027628711,0.017672983588,-3.85450482417,-9.20792423084,0.154135308814,-0.0158405700433,0.00995229233212,0,0,0,0,0,0,0.121582,0.128672000004,-0.223338999998,0.000367,0.00265200000001,-0.000716999999958
12,0.029637018,0.240655025657,-3.85360525282,-9.31886866383,0.150963347367,-0.00704974824667,0.0104878346264,0,0,0,0,0,0,0.121582,0.128672000004,-0.223338999998,0.000367,0.00265200000001,-0.000716999999958
13,0.031641076,-0.293317460178,-3.62762273246,-9.62502786982,0.138976273308,-0.0167124154144,0.0102453063618,0,0,0,0,0,0,0.121582,0.128672000002,-0.153338999998,0.000367,0.00465200000003,-0.00171699999993
14,0.033658480,-0.171956451111,-3.86620056306,-9.26091346232,0.133030537448,-0.0120746122433,0.00956761049392,0,0,0,0,0,0,0.121582,0.128672000002,-0.153338999998,0.000367,0.00465200000003,-0.00171699999993
15,0.035681053,0.238200896387,-4.05047423733,-9.11836044189,0.140891617079,0.00874975226456,0.00184528356376,0,0,0,0,0,0,0.121582,0.128672000002,-0.153338999998,0.000367,0.00465200000003,-0.00171699999993
16,0.037653233,0.124948256447,-3.98807683265,-9.30583223308,0.141733217306,-0.00257565296402,-0.00177155112268,0,0,0,0,0,0,0.121582,0.128672000002,-0.153338999998,0.000367,0.00465200000003,-0.00171699999993
17,0.039647583,-0.268564925748,-4.24825814049,-9.0322489054,0.155944124743,-0.0288238434386,0.0102712460616,0,0,0,0,0,0,0.051582,0.0786720000002,-0.0133399999987,0.005367,0.00865200000008,-0.00471699999986
18,0.041637405,0.16383223865,-4.3941203811,-9.17271169194,0.156259110745,-0.00572987550714,0.00585676154793,0,0,0,0,0,0,0.051582,0.0786720000002,-0.0133399999987,0.005367,0.00865200000008,-0.00471699999986
19,0.043627899,-0.110119414863,-3.82930367196,-9.10578520092,0.137909388695,-0.0122210271068,0.00357595633512,0,0,0,0,0,0,0.051582,0.0786720000002,-0.0133399999987,0.005367,0.00865200000008,-0.00471699999986
20,0.045626748,0.188093379555,-4.09715574195,-9.08767881087,0.14662630546,-0.00143538493818,-0.00725801046668,0,0,0,0,0,0,0.051582,0.0786720000002,-0.0133399999987,0.005367,0.00865200000008,-0.00471699999986
