sample_index,t_s,recv_latency_ms,sequence_number,sample_counter,status,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm,fx_raw,fy_raw,fz_raw,tx_raw,ty_raw,tz_raw
0,0.005324650,0.000000,1,6746,0,0.20000000,3.05000000,-25.18000000,0.01899000,-0.08400000,0.07199000,2000,30500,-251800,1899,-8400,7199
1,0.007230295,0.000000,2,6750,0,0.18000000,3.06000000,-25.02000000,0.01799000,-0.08500000,0.07300000,1800,30600,-250200,1799,-8500,7300
2,0.011209368,0.000000,3,6754,0,0.26000000,3.10000000,-24.87000000,0.00899000,-0.09400000,0.07700000,2600,31000,-248700,899,-9400,7700
3,0.015220621,0.000000,4,6758,0,0.23000000,3.07000000,-25.12990000,0.01400000,-0.08900000,0.07500000,2300,30700,-251299,1400,-8900,7500
4,0.019196047,0.000000,5,6762,0,0.26000000,3.06000000,-25.17000000,0.01200000,-0.09100000,0.07500000,2600,30600,-251700,1200,-9100,7500
5,0.023199586,0.000000,6,6766,0,0.27000000,3.08000000,-25.08000000,0.00899000,-0.09300000,0.07800000,2700,30800,-250800,899,-9300,7800
6,0.027200660,0.000000,7,6770,0,0.31000000,3.07000000,-25.29000000,0.01100000,-0.09400000,0.07700000,3100,30700,-252900,1100,-9400,7700
7,0.031217023,0.000000,8,6774,0,0.30000000,3.09000000,-25.30000000,0.01000000,-0.09300000,0.07700000,3000,30900,-253000,1000,-9300,7700
8,0.035210573,0.000000,9,6778,0,0.28000000,3.08000000,-25.31000000,0.01300000,-0.08900000,0.07500000,2800,30800,-253100,1300,-8900,7500
9,0.039228729,0.000000,10,6782,0,0.23000000,3.03000000,-25.26000000,0.01600000,-0.08700000,0.07400000,2300,30300,-252600,1600,-8700,7400
10,0.043222730,0.000000,11,6786,0,0.21000000,3.02000000,-25.18000000,0.01799000,-0.08700000,0.07300000,2100,30200,-251800,1799,-8700,7300
11,0.047229455,0.000000,12,6790,0,0.22000000,3.02000000,-25.34000000,0.02100000,-0.08300000,0.07100000,2200,30200,-253400,2100,-8300,7100
12,0.051238754,0.000000,13,6794,0,0.23000000,3.04000000,-25.48000000,0.01899000,-0.08200000,0.07100000,2300,30400,-254800,1899,-8200,7100
13,0.055243525,0.000000,14,6798,0,0.23000000,3.03000000,-25.44000000,0.02000000,-0.08300000,0.07199000,2300,30300,-254400,2000,-8300,7199
14,0.059243737,0.000000,15,6802,0,0.16000000,3.03000000,-25.32000000,0.02400000,-0.07700000,0.07000000,1600,30300,-253200,2400,-7700,7000
