sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
0,0.000416119,0.421548290551,-3.64247059371,-8.04935832389,0.143408797138,-0.00241529799224,0.0100150788386,0,0,0,0,0,0,0.071582,0.0986719999989,0.0666600000016,0.003367,0.00665200000003,-0.00171699999989
1,0.002408646,0.0739249567884,-3.64964600695,-8.14648588446,0.138396817379,-0.0215800661681,0.0159779872658,0,0,0,0,0,0,0.091582,0.128672,-0.00333999999794,0.001367,0.00565200000001,-0.00071699999991
2,0.004416992,-0.205398313749,-3.83938885651,-8.13967130967,0.153622347558,-0.0207934063252,0.00523756235815,0,0,0,0,0,0,0.091582,0.128672,-0.00333999999794,0.001367,0.00565200000001,-0.00071699999991
3,0.006412846,-0.258679445661,-4.16374519938,-8.2530656327,0.159123268057,-0.00807372263206,0.000210510956467,0,0,0,0,0,0,0.091582,0.128672,-0.00333999999794,0.001367,0.00565200000001,-0.00071699999991
4,0.008414229,0.101626339111,-3.91354562314,-8.62942740092,0.15131352476,-0.00957473603095,0.0131631735554,0,0,0,0,0,0,0.091582,0.128672,-0.00333999999794,0.001367,0.00565200000001,-0.00071699999991
5,0.010444778,-0.136855010367,-4.26246899765,-8.3004788063,0.161313450943,-0.0145991040901,0.00106825859953,0,0,0,0,0,0,0.061582,0.118671999998,0.146660000002,0.002367,0.00565200000004,-0.00271699999991
6,0.012411246,0.330563623074,-3.83636216797,-8.13488044786,0.144661631284,-0.00374822159993,0.00272376516193,0,0,0,0,0,0,0.061582,0.118671999998,0.146660000002,0.002367,0.00565200000004,-0.00271699999991
7,0.014403673,-0.129316006733,-3.8324889382,-7.97441598503,0.148341268612,-0.0170145609586,0.00946116695448,0,0,0,0,0,0,0.061582,0.118671999998,0.146660000002,0.002367,0.00565200000004,-0.00271699999991
8,0.016403684,-0.0498585312465,-3.64064742695,-8.07858467636,0.140310240951,-0.0114365441375,0.0100387057465,0,0,0,0,0,0,0.061582,0.118671999998,0.146660000002,0.002367,0.00565200000004,-0.00271699999991
9,0.018402613,0.277129270537,-3.4436302568,-8.11866374406,0.124100690962,0.00727861582451,0.00253415163181,0,0,0,0,0,0,0.121582,0.168671999993,0.456659000003,-0.007633,-0.00434800000004,0.00228299999993
10,0.020375634,0.129097764646,-3.43880920557,-8.02925655226,0.138896250796,-0.00900554093377,0.0056027208952,0,0,0,0,0,0,0.121582,0.168671999993,0.456659000003,-0.007633,-0.00434800000004,0.00228299999993
11,0.022374232,-0.354539133452,-4.49574405196,-8.03982482082,0.170093848814,-0.0161913557113,0.00548076864086,0,0,0,0,0,0,0.121582,0.168671999993,0.456659000003,-0.007633,-0.00434800000004,0.00228299999993
