sample_index,t_s,recv_latency_ms,sequence_number,sample_counter,status,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm,fx_raw,fy_raw,fz_raw,tx_raw,ty_raw,tz_raw
0,0.005596106,0.000000,1,37902,0,0.18000000,3.03000000,-25.60000000,0.02100000,-0.07800000,0.07000000,1800,30300,-256000,2100,-7800,7000
1,0.007907839,0.000000,2,37906,0,0.21000000,3.04000000,-25.45990000,0.01899000,-0.08100000,0.07199000,2100,30400,-254599,1899,-8100,7199
2,0.011907078,0.000000,3,37910,0,0.20000000,3.03000000,-25.30000000,0.01799000,-0.08300000,0.07300000,2000,30300,-253000,1799,-8300,7300
3,0.015912329,0.000000,4,37914,0,0.19000000,3.00000000,-25.27000000,0.01700000,-0.08300000,0.07300000,1900,30000,-252700,1700,-8300,7300
4,0.019908934,0.000000,5,37918,0,0.24000000,3.03000000,-25.27000000,0.01100000,-0.08900000,0.07599000,2400,30300,-252700,1100,-8900,7599
5,0.023909756,0.000000,6,37922,0,0.32000000,3.09000000,-25.53000000,0.00700000,-0.09200000,0.07599000,3200,30900,-255300,700,-9200,7599
6,0.027909066,0.000000,7,37926,0,0.22000000,3.06000000,-25.40000000,0.01600000,-0.08500000,0.07300000,2200,30600,-254000,1600,-8500,7300
7,0.031918184,0.000000,8,37930,0,0.23000000,3.02000000,-25.45990000,0.01799000,-0.08400000,0.07300000,2300,30200,-254599,1799,-8400,7300
8,0.035925047,0.000000,9,37934,0,0.20000000,3.00000000,-25.45990000,0.02000000,-0.08200000,0.07199000,2000,30000,-254599,2000,-8200,7199
9,0.039927903,0.000000,10,37938,0,0.15000000,2.99000000,-25.30000000,0.02100000,-0.07900000,0.07199000,1500,29900,-253000,2100,-7900,7199
10,0.043954434,0.000000,11,37942,0,0.16000000,3.03000000,-25.17000000,0.01600000,-0.08200000,0.07199000,1600,30300,-251700,1600,-8200,7199
11,0.047956118,0.000000,12,37946,0,0.18000000,3.04000000,-25.19000000,0.01500000,-0.08400000,0.07300000,1800,30400,-251900,1500,-8400,7300
12,0.051956730,0.000000,13,37950,0,0.15000000,3.01000000,-25.11000000,0.01799000,-0.08200000,0.07100000,1500,30100,-251100,1799,-8200,7100
13,0.055936944,0.000000,14,37954,0,0.13000000,2.99000000,-25.20000000,0.02000000,-0.08000000,0.07100000,1300,29900,-252000,2000,-8000,7100
14,0.059965247,0.000000,15,37958,0,0.21000000,3.03000000,-25.28000000,0.01300000,-0.08600000,0.07500000,2100,30300,-252800,1300,-8600,7500
15,0.063961541,0.000000,16,37962,0,0.22000000,3.03000000,-25.20000000,0.01200000,-0.08700000,0.07500000,2200,30300,-252000,1200,-8700,7500
16,0.067952936,0.000000,17,37966,0,0.19000000,3.05000000,-25.20990000,0.01500000,-0.08400000,0.07400000,1900,30500,-252099,1500,-8400,7400
17,0.071950463,0.000000,18,37970,0,0.21000000,3.05000000,-25.34000000,0.01600000,-0.08300000,0.07199000,2100,30500,-253400,1600,-8300,7199
18,0.075957126,0.000000,19,37974,0,0.24000000,3.03000000,-25.37990000,0.01500000,-0.08400000,0.07300000,2400,30300,-253799,1500,-8400,7300
19,0.079960322,0.000000,20,37978,0,0.25000000,3.05000000,-25.23000000,0.01200000,-0.08700000,0.07400000,2500,30500,-252300,1200,-8700,7400
20,0.083963069,0.000000,21,37982,0,0.27000000,3.06000000,-25.35000000,0.01000000,-0.08800000,0.07500000,2700,30600,-253500,1000,-8800,7500
21,0.087964121,0.000000,22,37986,0,0.29000000,3.06000000,-25.39000000,0.01100000,-0.08800000,0.07500000,2900,30600,-253900,1100,-8800,7500
22,0.091962960,0.000000,23,37990,0,0.26000000,3.05000000,-25.40000000,0.01300000,-0.08700000,0.07400000,2600,30500,-254000,1300,-8700,7400
23,0.095954545,0.000000,24,37994,0,0.26000000,3.06000000,-25.34000000,0.01000000,-0.09000000,0.07599000,2600,30600,-253400,1000,-9000,7599
24,0.099959946,0.000000,25,37998,0,0.26000000,3.05000000,-25.44000000,0.01300000,-0.08700000,0.07400000,2600,30500,-254400,1300,-8700,7400
25,0.103959947,0.000000,26,38002,0,0.19000000,3.01000000,-25.42000000,0.01899000,-0.08100000,0.07100000,1900,30100,-254200,1899,-8100,7100
26,0.107985876,0.000000,27,38006,0,0.17000000,3.01000000,-25.47000000,0.02300000,-0.07800000,0.07000000,1700,30100,-254700,2300,-7800,7000
27,0.111962744,0.000000,28,38010,0,0.23000000,3.03000000,-25.33000000,0.01600000,-0.08600000,0.07400000,2300,30300,-253300,1600,-8600,7400
28,0.115987782,0.000000,29,38014,0,0.24000000,3.05000000,-25.41000000,0.01500000,-0.08500000,0.07400000,2400,30500,-254100,1500,-8500,7400
29,0.120040000,0.000000,30,38018,0,0.25000000,3.06000000,-25.34000000,0.01500000,-0.08700000,0.07400000,2500,30600,-253400,1500,-8700,7400
30,0.123987312,0.000000,31,38022,0,0.26000000,3.07000000,-25.30000000,0.01400000,-0.08800000,0.07400000,2600,30700,-253000,1400,-8800,7400
31,0.127986592,0.000000,32,38026,0,0.29000000,3.07000000,-25.37990000,0.01200000,-0.08900000,0.07599000,2900,30700,-253799,1200,-8900,7599
32,0.131991802,0.000000,33,38030,0,0.29000000,3.07000000,-25.39000000,0.01100000,-0.09000000,0.07599000,2900,30700,-253900,1100,-9000,7599
33,0.135996522,0.000000,34,38034,0,0.28000000,3.07000000,-25.36000000,0.01200000,-0.09000000,0.07500000,2800,30700,-253600,1200,-9000,7500
34,0.140003126,0.000000,35,38038,0,0.31000000,3.07000000,-25.34000000,0.00899000,-0.09300000,0.07800000,3100,30700,-253400,899,-9300,7800
35,0.143997105,0.000000,36,38042,0,0.29000000,3.04000000,-25.35000000,0.01300000,-0.08900000,0.07599000,2900,30400,-253500,1300,-8900,7599
36,0.148015871,0.000000,37,38046,0,0.23000000,3.02000000,-25.36000000,0.01600000,-0.08500000,0.07400000,2300,30200,-253600,1600,-8500,7400
37,0.152003809,0.000000,38,38050,0,0.20000000,3.05000000,-25.41000000,0.01799000,-0.08400000,0.07300000,2000,30500,-254100,1799,-8400,7300
38,0.156018658,0.000000,39,38054,0,0.27000000,3.08000000,-25.45990000,0.01200000,-0.08800000,0.07500000,2700,30800,-254599,1200,-8800,7500
39,0.160039237,0.000000,40,38058,0,0.27000000,3.07000000,-25.36000000,0.01000000,-0.09000000,0.07599000,2700,30700,-253600,1000,-9000,7599
40,0.164037034,0.000000,41,38062,0,0.22000000,3.05000000,-25.20000000,0.01400000,-0.08700000,0.07400000,2200,30500,-252000,1400,-8700,7400
41,0.168038768,0.000000,42,38066,0,0.17000000,3.02000000,-25.15000000,0.01799000,-0.08400000,0.07100000,1700,30200,-251500,1799,-8400,7100
42,0.172039661,0.000000,43,38070,0,0.22000000,3.06000000,-25.28000000,0.01300000,-0.08600000,0.07400000,2200,30600,-252800,1300,-8600,7400
43,0.176046113,0.000000,44,38074,0,0.23000000,3.06000000,-25.45990000,0.01400000,-0.08500000,0.07400000,2300,30600,-254599,1400,-8500,7400
