sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
0,0.000062707,-0.583642895911,-3.04615981064,-6.48422920129,0.123029653434,-0.0229450049228,0.00884249191974,0,0,0,0,0,0,0.081582,0.0886720000028,-0.173339999999,0.002367,0.00865200000004,-0.00271699999986
1,0.000118040,-0.353899224232,-2.9839025156,-6.78793897064,0.11309627427,-0.0194852814091,0.0144275699087,0,0,0,0,0,0,0.081582,0.0886720000028,-0.173339999999,0.002367,0.00865200000004,-0.00271699999986
2,0.000203450,-0.0503031801661,-2.90020168776,-6.35720448295,0.109552849067,-0.000674202389667,0.00251255307849,0,0,0,0,0,0,0.081582,0.0886720000028,-0.173339999999,0.002367,0.00865200000004,-0.00271699999986
3,0.000234238,-0.0588465638676,-2.95862738919,-6.36476738341,0.116057941191,-0.0193962806397,0.00556405592077,0,0,0,0,0,0,0.081582,0.0886720000028,-0.173339999999,0.002367,0.00865200000004,-0.00271699999986
4,0.000254235,0.301055239126,-2.73869398226,-6.04639709247,0.106391740849,-0.00637184695057,0.00521094619442,0,0,0,0,0,0,0.111582,0.118672000001,-0.0533389999981,-0.000633,0.00465200000003,-0.00171699999993
5,0.000274483,-0.146015572808,-2.86999441604,-6.20166004303,0.11721580497,-0.0294189438858,0.00955378060853,0,0,0,0,0,0,0.111582,0.118672000001,-0.0533389999981,-0.000633,0.00465200000003,-0.00171699999993
6,0.000319177,-0.383731025089,-3.02429313232,-6.11781764375,0.121914365935,-0.0268467397211,0.0062844618349,0,0,0,0,0,0,0.111582,0.118672000001,-0.0533389999981,-0.000633,0.00465200000003,-0.00171699999993
7,0.000337020,-0.093032785753,-3.0065657723,-6.45772889226,0.103553292569,-0.0155480698535,0.00882504818025,0,0,0,0,0,0,0.111582,0.118672000001,-0.0533389999981,-0.000633,0.00465200000003,-0.00171699999993
8,0.000354152,0.188108971642,-3.04170389926,-6.31526236654,0.120225286991,-0.0118655073013,0.0132890506707,0,0,0,0,0,0,0.041582,0.118672000002,-0.153338999998,0.003367,0.00865200000004,-0.00271699999986
9,0.000384369,-0.202794937257,-3.26087200867,-6.53025662049,0.119555068868,-0.00930009316828,0.0145228379455,0,0,0,0,0,0,0.041582,0.118672000002,-0.153338999998,0.003367,0.00865200000004,-0.00271699999986
10,0.000428621,-0.575423380104,-2.87771678307,-6.12709336417,0.123330721867,-0.030346794577,0.0093493983757,0,0,0,0,0,0,0.041582,0.118672000002,-0.153338999998,0.003367,0.00865200000004,-0.00271699999986
11,0.000446715,0.0754544905492,-3.11600157994,-6.44449131108,0.109923600838,-0.00413467708799,0.00212645827335,0,0,0,0,0,0,0.041582,0.118672000002,-0.153338999998,0.003367,0.00865200000004,-0.00271699999986
12,0.000463356,0.623683532957,-3.05841412114,-6.4863600472,0.124626297184,0.00657809835652,0.0024039555139,0,0,0,0,0,0,0.051582,0.0986720000031,-0.193339999998,0.006367,0.0106520000001,-0.00571699999983
13,0.000481670,-0.563094308298,-2.85773080998,-6.27953043715,0.106617307363,-0.0329069032455,0.00943993114178,0,0,0,0,0,0,0.051582,0.0986720000031,-0.193339999998,0.006367,0.0106520000001,-0.00571699999983
14,0.000499394,-0.199348052663,-3.00111846558,-6.44627528569,0.115648105421,-0.0184661496975,0.00528634485508,0,0,0,0,0,0,0.051582,0.0986720000031,-0.193339999998,0.006367,0.0106520000001,-0.00571699999983
15,0.000517257,-0.295362666136,-2.980722504,-6.23022107146,0.115049321752,-0.0131770812104,0.00238897626768,0,0,0,0,0,0,0.051582,0.0986720000031,-0.193339999998,0.006367,0.0106520000001,-0.00571699999983
16,0.000533728,-0.294392044717,-3.136689889,-6.01684205105,0.121848817379,-0.0364532536986,0.0130285555826,0,0,0,0,0,0,0.061582,0.108672000001,-0.0933399999983,0.000367,0.00665200000004,-0.00271699999989
17,0.000550499,-0.29778702377,-2.96241241572,-6.40884707453,0.12185709352,-0.0249563241956,0.0172240874962,0,0,0,0,0,0,0.061582,0.108672000001,-0.0933399999983,0.000367,0.00665200000004,-0.00271699999989
18,0.000567271,0.141449981784,-3.14918550824,-6.59231599534,0.115753303246,-0.00680777161115,0.00878308198058,0,0,0,0,0,0,0.061582,0.108672000001,-0.0933399999983,0.000367,0.00665200000004,-0.00271699999989
19,0.000584944,-0.132317800132,-3.035926337,-6.26168374112,0.120148858967,-0.00703267866818,0.0177573115646,0,0,0,0,0,0,0.061582,0.108672000001,-0.0933399999983,0.000367,0.00665200000004,-0.00271699999989
