         1695254621 function calls (1682131222 primitive calls) in 171.012 seconds

   Ordered by: cumulative time
   List reduced from 808 to 65 due to restriction <65>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.232    0.232  171.479  171.479 test_contact_yield_provider.py:148(test_mature_qualification_entry_and_formal_clock_use_same_native_provider)
    31916    0.813    0.000  170.732    0.005 qualification.py:224(step)
    31916    0.068    0.000  153.609    0.005 yield_contact_provider.py:57(execution_command)
    31917    0.263    0.000  153.519    0.005 yield_contact_provider.py:134(command)
    31917    0.640    0.000  148.181    0.005 yield_contact_runtime.py:264(step)
    31917    0.017    0.000  121.433    0.004 yield_contact_runtime.py:107(freshness_summary)
    31917    0.723    0.000  121.416    0.004 contact_benchmark_protocol.py:93(as_dict)
    95751    0.146    0.000  118.433    0.001 contact_benchmark_protocol.py:45(_percentile)
    96222   54.356    0.001  118.260    0.001 {built-in method builtins.sorted}
1528185960   63.904    0.000   63.904    0.000 contact_benchmark_protocol.py:48(<genexpr>)
    31917    0.075    0.000   19.622    0.001 contact_yield_controller.py:307(step)
    31917    1.539    0.000   18.884    0.001 contact_yield_controller.py:334(_step_body)
6192389/3862452    1.798    0.000   18.578    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   287252    0.635    0.000   10.707    0.000 contact_yield_math.py:66(require_rotation)
    63833    0.177    0.000    8.675    0.000 yield_contact_runtime.py:160(orientation_error_rad)
   351087    0.173    0.000    8.558    0.000 <__array_function__ internals>:177(allclose)
    31916    0.034    0.000    8.377    0.000 yield_contact_provider.py:32(snapshot)
   351087    0.216    0.000    8.245    0.000 numeric.py:2199(allclose)
10117456/31984    3.990    0.000    7.459    0.000 copy.py:128(deepcopy)
127664/31916    0.683    0.000    7.390    0.000 copy.py:227(_deepcopy_dict)
   351087    0.154    0.000    7.179    0.000 <__array_function__ internals>:177(isclose)
    95750    0.162    0.000    6.972    0.000 contact_yield_math.py:153(transported_roll_anchor)
   351087    0.661    0.000    6.871    0.000 numeric.py:2278(isclose)
  2361856    0.771    0.000    5.667    0.000 <__array_function__ internals>:177(all)
    95750    0.387    0.000    5.379    0.000 contact_yield_math.py:102(so3_log)
    31916    0.029    0.000    5.166    0.000 yield_contact_provider.py:52(execution_path_errors)
    31916    0.099    0.000    5.116    0.000 yield_contact_provider.py:76(path_errors)
   351087    1.359    0.000    4.186    0.000 numeric.py:2359(within_tol)
  2361856    0.831    0.000    4.185    0.000 fromnumeric.py:2432(all)
    31917    0.101    0.000    4.121    0.000 contact_yield_math.py:128(attitude_error_omega)
  2585776    1.517    0.000    3.691    0.000 fromnumeric.py:69(_wrapreduction)
    31917    0.303    0.000    3.604    0.000 contact_yield_qp.py:58(compose)
    31917    0.022    0.000    3.100    0.000 yield_contact_runtime.py:142(_validate_observation)
    31917    0.437    0.000    3.078    0.000 contact_benchmark_runtime.py:27(validate_measured_observation)
893648/702152    0.580    0.000    3.056    0.000 copy.py:210(_deepcopy_tuple)
    95750    0.148    0.000    2.875    0.000 contact_semantics.py:119(minimal_rotation_between)
   255334    0.095    0.000    2.664    0.000 <__array_function__ internals>:177(clip)
   893676    0.307    0.000    2.631    0.000 <__array_function__ internals>:177(norm)
893648/702152    0.434    0.000    2.573    0.000 copy.py:211(<listcomp>)
   223415    2.349    0.000    2.465    0.000 {built-in method builtins.max}
   255334    0.116    0.000    2.393    0.000 fromnumeric.py:2111(clip)
    31917    0.923    0.000    2.384    0.000 contact_qp.py:112(solve)
   319169    0.378    0.000    2.331    0.000 contact_semantics.py:36(normalize_unit)
    95750    0.209    0.000    2.331    0.000 contact_yield_controller.py:165(snapshot)
   255334    0.124    0.000    2.278    0.000 fromnumeric.py:51(_wrapfunc)
   638340    0.505    0.000    2.085    0.000 contact_semantics.py:15(finite_vector3)
   893676    1.218    0.000    2.006    0.000 linalg.py:2342(norm)
   255334    0.314    0.000    1.936    0.000 _methods.py:127(_clip)
    95750    0.048    0.000    1.877    0.000 contact_yield_laws.py:185(snapshot)
    31917    0.267    0.000    1.855    0.000 contact_yield_normal.py:98(update)
    95750    0.393    0.000    1.829    0.000 contact_laws.py:478(snapshot)
  3064031    1.825    0.000    1.825    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   223417    0.123    0.000    1.824    0.000 {method 'clip' of 'numpy.generic' objects}
    63833    0.038    0.000    1.721    0.000 yield_contact_runtime.py:110(snapshot)
   287253    0.104    0.000    1.629    0.000 <__array_function__ internals>:177(det)
    31916    0.380    0.000    1.457    0.000 runtime.py:156(gate_qdot)
   287253    0.607    0.000    1.419    0.000 linalg.py:2085(det)
   383002    0.328    0.000    1.397    0.000 contact_semantics.py:22(finite_matrix3)
   702174    0.586    0.000    1.265    0.000 _ufunc_config.py:33(seterr)
    95751    0.596    0.000    1.260    0.000 step5c_calibrated_kinematics_audit.py:129(rotvec_to_matrix)
    31917    0.530    0.000    1.251    0.000 calibrated_runtime.py:104(tcp_jacobian_base)
   510668    0.581    0.000    1.243    0.000 _methods.py:93(_clip_dep_is_scalar_nan)
    95750    0.053    0.000    1.203    0.000 <string>:2(__init__)
    95750    0.244    0.000    1.150    0.000 contact_laws.py:190(__post_init__)
   542587    0.715    0.000    0.907    0.000 twodim_base.py:162(eye)
