=== DSFC nominal Kz=0: plant4 vs plant8
n=31416  max|dF|=0.0094 at t=18.468  max|dP|=5.869e-06 at t=18.516
 window_s   max|dF|   rms dF   max|dP|mm  sat4  sat8  minF4  minF8  maxF4  maxF8
     0-2      0.0057   0.0034    0.0017     0     0   4.45   4.44   5.54   5.55
     2-4      0.0048   0.0031    0.0019   810   811   4.67   4.66   5.16   5.16
     4-6      0.0036   0.0022    0.0020   369   369   4.75   4.75   5.05   5.05
     6-8      0.0024   0.0011    0.0018     0     0   4.67   4.68   5.24   5.24
     8-10     0.0013   0.0006    0.0016     0     0   4.84   4.84   5.10   5.11
    10-12     0.0040   0.0011    0.0054     0     0   4.70   4.70   5.21   5.21
    12-14     0.0041   0.0010    0.0032     0     0   4.76   4.76   5.17   5.17
    14-16     0.0002   0.0001    0.0032     0     0   4.95   4.95   5.02   5.02
    16-18     0.0002   0.0001    0.0018     0     0   4.95   4.95   4.97   4.97
    18-20     0.0094   0.0026    0.0059     0     0   4.78   4.78   5.16   5.16
    20-22     0.0041   0.0025    0.0028     0     0   4.84   4.84   5.14   5.14
    22-24     0.0036   0.0024    0.0016     0     0   4.86   4.86   5.06   5.06
    24-26     0.0044   0.0029    0.0015     0     0   4.86   4.86   5.05   5.05
    26-28     0.0047   0.0033    0.0013     0     0   4.86   4.86   5.04   5.05
    28-30     0.0046   0.0031    0.0012     0     0   4.87   4.87   5.02   5.03
    30-32     0.0038   0.0025    0.0010     0     0   4.90   4.90   5.01   5.01
    32-34     0.0029   0.0019    0.0009     0     0   4.91   4.91   4.98   4.99
    34-36     0.0023   0.0015    0.0006     0     0   4.93   4.93   4.98   4.98
    36-38     0.0017   0.0011    0.0004     0     0   4.94   4.94   4.97   4.97
    38-40     0.0014   0.0010    0.0004     0     0   4.95   4.95   4.97   4.97
    40-42     0.0013   0.0009    0.0003     0     0   4.95   4.95   4.98   4.98
    42-44     0.0011   0.0008    0.0002     0     0   4.96   4.96   4.98   4.98
    44-46     0.0010   0.0007    0.0002     0     0   4.96   4.96   4.97   4.98
    46-48     0.0008   0.0005    0.0002     0     0   4.96   4.96   4.97   4.97
    48-50     0.0004   0.0002    0.0001     0     0   4.97   4.97   4.97   4.97
    50-52     0.0001   0.0001    0.0001     0     0   4.97   4.97   4.97   4.97
    52-54     0.0000   0.0000    0.0001     0     0   4.96   4.96   4.97   4.97
    54-56     0.0000   0.0000    0.0001     0     0   4.95   4.95   4.96   4.96
    56-58     0.0000   0.0000    0.0001     0     0   4.95   4.95   4.95   4.95
    58-60     0.0000   0.0000    0.0001     0     0   4.95   4.95   4.95   4.95
    60-62     0.0000   0.0000    0.0000     0     0   4.95   4.95   4.95   4.95
    62-64     0.0000   0.0000    0.0000     0     0   4.95   4.95   4.95   4.95
  plant4 force spectrum 20-60s top freqs Hz: 1.500(94), 1.525(74), 0.025(52), 1.475(50), 1.550(35)
  plant8 force spectrum 20-60s top freqs Hz: 1.500(1e+02), 1.525(79), 1.475(53), 0.025(52), 1.550(36)
  best lag (ticks, plant8 vs plant4) in 20-60s: -1  (corr0=0.9994, best=0.9996)
