=== MSFC nominal Kz=0: plant4(common-fix) vs plant8(offset-ablation)
n=31416  max|dF|=0.0906 at t=6.678  max|dP|=1.841e-05 at t=6.484
 window_s   max|dF|   rms dF   max|dP|mm  sat4  sat8  minF4  minF8  maxF4  maxF8
     0-2      0.0451   0.0167    0.0066   189   189   4.04   4.01   5.98   5.99
     2-4      0.0852   0.0523    0.0154  1000  1000   3.97   3.95   5.89   5.92
     4-6      0.0756   0.0508    0.0148   804   805   4.27   4.24   5.62   5.65
     6-8      0.0906   0.0503    0.0184     0     0   4.29   4.26   5.69   5.72
     8-10     0.0284   0.0125    0.0103     0     0   4.78   4.76   5.15   5.16
    10-12     0.0101   0.0041    0.0072     0     0   4.92   4.92   5.02   5.01
    12-14     0.0011   0.0004    0.0021     0     0   4.97   4.97   4.98   4.98
    14-16     0.0001   0.0000    0.0019     0     0   4.97   4.97   4.97   4.97
    16-18     0.0000   0.0000    0.0008     0     0   4.97   4.97   4.97   4.97
    18-20     0.0000   0.0000    0.0005     0     0   4.97   4.97   4.97   4.97
    20-22     0.0001   0.0000    0.0002     0     0   4.96   4.96   4.97   4.97
    22-24     0.0002   0.0001    0.0002     0     0   4.96   4.96   4.96   4.96
    24-26     0.0004   0.0002    0.0001     0     0   4.95   4.95   4.96   4.96
    26-28     0.0008   0.0004    0.0002     0     0   4.95   4.95   4.96   4.96
    28-30     0.0016   0.0009    0.0003     0     0   4.95   4.95   4.95   4.96
    30-32     0.0029   0.0016    0.0005     0     0   4.94   4.94   4.96   4.96
    32-34     0.0045   0.0026    0.0008     0     0   4.94   4.94   4.96   4.96
    34-36     0.0072   0.0041    0.0012     0     0   4.94   4.94   4.97   4.97
    36-38     0.0120   0.0068    0.0020     0     0   4.94   4.93   4.98   4.99
    38-40     0.0205   0.0118    0.0034     0     0   4.93   4.91   5.00   5.01
    40-42     0.0349   0.0199    0.0054     0     0   4.91   4.89   5.02   5.05
    42-44     0.0515   0.0307    0.0083     0     0   4.89   4.86   5.05   5.09
    44-46     0.0677   0.0428    0.0121     0     0   4.87   4.82   5.07   5.12
    46-48     0.0701   0.0471    0.0129     0     0   4.87   4.82   5.07   5.12
    48-50     0.0597   0.0323    0.0107     0     0   4.89   4.84   5.05   5.10
    50-52     0.0243   0.0103    0.0049     0     0   4.94   4.92   5.00   5.02
    52-54     0.0041   0.0017    0.0025     0     0   4.96   4.96   4.97   4.97
    54-56     0.0010   0.0006    0.0012     0     0   4.96   4.96   4.96   4.96
    56-58     0.0007   0.0005    0.0006     0     0   4.95   4.95   4.96   4.96
    58-60     0.0009   0.0005    0.0004     0     0   4.95   4.95   4.95   4.95
    60-62     0.0013   0.0008    0.0003     0     0   4.95   4.95   4.95   4.95
    62-64     0.0015   0.0010    0.0003     0     0   4.95   4.95   4.95   4.95
  plant4 force spectrum 20-60s top freqs Hz: 2.550(1.6e+02), 2.525(1.3e+02), 2.575(1.3e+02), 2.600(96), 2.500(90)
  plant8 force spectrum 20-60s top freqs Hz: 2.550(2.3e+02), 2.525(2e+02), 2.575(1.9e+02), 2.600(1.5e+02), 2.500(1.3e+02)
  best lag (ticks, plant8 vs plant4) in 20-60s: -11  (corr0=0.9363, best=0.9964)
