=== MSFC tangent Kz=0: plant4 vs plant8
n=31416  max|dF|=0.0906 at t=6.678  max|dP|=1.950e-05 at t=46.564
 window_s   max|dF|   rms dF   max|dP|mm  sat4  sat8  minF4  minF8  maxF4  maxF8
     0-2      0.0451   0.0167    0.0066   189   189   4.04   4.01   5.98   5.99
     2-4      0.0852   0.0523    0.0154  1000  1000   3.97   3.95   5.89   5.92
     4-6      0.0756   0.0508    0.0148   804   805   4.27   4.24   5.62   5.65
     6-8      0.0906   0.0503    0.0184     0     0   4.29   4.26   5.69   5.72
     8-10     0.0284   0.0125    0.0103     0     0   4.78   4.76   5.15   5.16
    10-12     0.0101   0.0041    0.0072     0     0   4.92   4.92   5.02   5.01
    12-14     0.0011   0.0004    0.0021     0     0   4.97   4.97   4.98   4.98
    14-16     0.0001   0.0000    0.0019     0     0   4.97   4.97   4.97   4.97
    16-18     0.0000   0.0000    0.0008     0     0   4.97   4.97   4.97   4.97
    18-20     0.0000   0.0000    0.0005     0     0   4.97   4.97   4.97   4.97
    20-22     0.0021   0.0010    0.0006   819   819   4.67   4.67   5.31   5.31
    22-24     0.0055   0.0007    0.0133  1000  1000   4.97   4.97   5.06   5.06
    24-26     0.0012   0.0007    0.0117   346   346   4.96   4.96   5.03   5.03
    26-28     0.0008   0.0003    0.0040     0     0   4.97   4.97   4.99   4.99
    28-30     0.0083   0.0018    0.0148     0     0   4.04   4.04   5.00   5.00
    30-32     0.0015   0.0008    0.0170     0     0   3.96   3.96   4.53   4.53
    32-34     0.0382   0.0073    0.0149   374   375   4.37   4.37   5.73   5.73
    34-36     0.0100   0.0019    0.0043   755   755   4.54   4.54   5.38   5.38
    36-38     0.0024   0.0011    0.0037     0     0   4.83   4.83   5.10   5.11
    38-40     0.0064   0.0014    0.0023     0     0   4.83   4.83   5.10   5.10
    40-42     0.0046   0.0024    0.0017     0     0   4.81   4.81   5.13   5.13
    42-44     0.0179   0.0069    0.0026     0     0   4.51   4.49   5.44   5.46
    44-46     0.0410   0.0216    0.0170     0     0   4.40   4.37   5.57   5.61
    46-48     0.0461   0.0301    0.0195     0     0   4.41   4.37   5.55   5.59
    48-50     0.0423   0.0246    0.0132     0     0   4.54   4.50   5.39   5.43
    50-52     0.0219   0.0096    0.0089     0     0   4.82   4.80   5.14   5.16
    52-54     0.0050   0.0019    0.0067     0     0   4.94   4.93   5.00   5.00
    54-56     0.0012   0.0007    0.0033     0     0   4.95   4.95   4.97   4.97
    56-58     0.0010   0.0006    0.0019     0     0   4.95   4.95   4.96   4.96
    58-60     0.0014   0.0008    0.0010     0     0   4.95   4.95   4.96   4.96
    60-62     0.0022   0.0012    0.0006     0     0   4.94   4.94   4.96   4.96
    62-64     0.0025   0.0016    0.0006     0     0   4.94   4.94   4.96   4.96
  plant4 force spectrum 20-60s top freqs Hz: 0.025(6.1e+02), 0.100(6e+02), 0.075(5.8e+02), 0.050(5.7e+02), 0.125(5.7e+02)
  plant8 force spectrum 20-60s top freqs Hz: 0.025(6.1e+02), 2.600(6e+02), 0.100(6e+02), 0.075(5.8e+02), 2.625(5.8e+02)
  best lag (ticks, plant8 vs plant4) in 20-60s: 0  (corr0=0.9994, best=0.9994)
