=== SFC nominal Kz=0: plant4 vs plant8
n=31416  max|dF|=0.0121 at t=7.530  max|dP|=4.599e-06 at t=18.806
 window_s   max|dF|   rms dF   max|dP|mm  sat4  sat8  minF4  minF8  maxF4  maxF8
     0-2      0.0034   0.0022    0.0014     0     0   4.74   4.74   5.29   5.29
     2-4      0.0047   0.0028    0.0017   627   627   4.70   4.70   5.07   5.07
     4-6      0.0061   0.0040    0.0025   167   167   4.55   4.54   5.11   5.11
     6-8      0.0121   0.0046    0.0025     0     0   4.51   4.51   5.44   5.44
     8-10     0.0049   0.0023    0.0017     0     0   4.76   4.76   5.31   5.31
    10-12     0.0043   0.0013    0.0014     0     0   4.80   4.80   5.12   5.12
    12-14     0.0019   0.0011    0.0013     0     0   4.84   4.84   5.11   5.11
    14-16     0.0008   0.0005    0.0008     0     0   4.95   4.95   5.04   5.04
    16-18     0.0005   0.0004    0.0010     0     0   4.93   4.93   4.98   4.98
    18-20     0.0081   0.0017    0.0046     0     0   4.74   4.74   5.22   5.22
    20-22     0.0028   0.0019    0.0018     0     0   4.76   4.76   5.22   5.23
    22-24     0.0029   0.0019    0.0019     0     0   4.80   4.80   5.13   5.13
    24-26     0.0042   0.0026    0.0016     0     0   4.81   4.81   5.11   5.11
    26-28     0.0050   0.0032    0.0017     0     0   4.81   4.80   5.10   5.11
    28-30     0.0050   0.0035    0.0016     0     0   4.82   4.81   5.08   5.08
    30-32     0.0047   0.0030    0.0016     0     0   4.85   4.85   5.06   5.06
    32-34     0.0036   0.0023    0.0014     0     0   4.89   4.88   5.02   5.02
    34-36     0.0030   0.0020    0.0013     0     0   4.91   4.90   5.00   5.00
    36-38     0.0025   0.0016    0.0012     0     0   4.93   4.93   5.00   5.00
    38-40     0.0021   0.0014    0.0011     0     0   4.94   4.93   4.99   4.99
    40-42     0.0021   0.0015    0.0009     0     0   4.94   4.94   4.99   4.99
    42-44     0.0021   0.0014    0.0008     0     0   4.95   4.95   4.99   5.00
    44-46     0.0020   0.0014    0.0006     0     0   4.95   4.95   4.99   4.99
    46-48     0.0018   0.0011    0.0005     0     0   4.96   4.95   4.99   4.99
    48-50     0.0012   0.0007    0.0003     0     0   4.96   4.96   4.98   4.98
    50-52     0.0006   0.0003    0.0002     0     0   4.97   4.97   4.97   4.97
    52-54     0.0002   0.0001    0.0002     0     0   4.96   4.96   4.97   4.97
    54-56     0.0001   0.0001    0.0001     0     0   4.96   4.96   4.96   4.96
    56-58     0.0001   0.0001    0.0001     0     0   4.95   4.95   4.96   4.96
    58-60     0.0001   0.0001    0.0001     0     0   4.95   4.95   4.95   4.95
    60-62     0.0001   0.0001    0.0001     0     0   4.95   4.95   4.95   4.95
    62-64     0.0001   0.0001    0.0001     0     0   4.95   4.95   4.95   4.95
  plant4 force spectrum 20-60s top freqs Hz: 1.350(1.9e+02), 1.325(1.2e+02), 1.375(1e+02), 1.400(49), 0.025(48)
  plant8 force spectrum 20-60s top freqs Hz: 1.350(2e+02), 1.325(1.3e+02), 1.375(1.1e+02), 1.400(50), 0.025(48)
  best lag (ticks, plant8 vs plant4) in 20-60s: 0  (corr0=0.9998, best=0.9998)
