attempt_id,method,unit,condition,status,path,artifact_sha256,bytes,parsed
SFC-00-nominal,SFC,0,nominal,complete,attempts/SFC-00-nominal/artifact.json,e51055b6e96aec95671647c044e7100567a5dafa59343afd7afa0c3adea3e3a9,340008836,True
SFC-00-disturbed,SFC,0,disturbed,complete,attempts/SFC-00-disturbed/artifact.json,5d835eceb7996ad91e253029522b459c2a5b861d4cfb768c16fce8d6151392aa,340116904,True
SFC-01-nominal,SFC,1,nominal,complete,attempts/SFC-01-nominal/artifact.json,7943dd2ae88242eede493ea94bc24ca64a81da0dd4cd7906a89416ba6cafc714,339933918,True
SFC-01-disturbed,SFC,1,disturbed,complete,attempts/SFC-01-disturbed/artifact.json,b2751ef469193cf86ddad09700ee581644b7f61c431b6c08489c8333ad37a5d9,340304899,True
SFC-02-nominal,SFC,2,nominal,complete,attempts/SFC-02-nominal/artifact.json,e8c852ef4b5db1f396f4ca95be8504d2e7a4922937824edb7f21a91d9bf3bb68,339307580,True
SFC-02-disturbed,SFC,2,disturbed,complete,attempts/SFC-02-disturbed/artifact.json,00844745601772d8fbdbc785caf2977e353a6d0145db506c3051b9be43fee798,339975090,True
SFC-03-nominal,SFC,3,nominal,complete,attempts/SFC-03-nominal/artifact.json,ec804e9fd8c215a886eaa8bac9a1bbf151ffd3d68a05b2c692d58aa5556c43d6,339948759,True
SFC-03-disturbed,SFC,3,disturbed,complete,attempts/SFC-03-disturbed/artifact.json,9b10e74288ab5fab023239f544679dc47c58e25a9d1653a678be6eba839efd5e,340545068,True
SFC-04-nominal,SFC,4,nominal,complete,attempts/SFC-04-nominal/artifact.json,863c6bf56ee4219396ca9e763cb8129d2f929ac656227c39260262d381856c0d,339660060,True
SFC-04-disturbed,SFC,4,disturbed,complete,attempts/SFC-04-disturbed/artifact.json,7bbeeadc62fbb0c3d520258aaa4ff9b30075fc7a68170080d45099a20ffc1d4f,339787935,True
SFC-05-nominal,SFC,5,nominal,complete,attempts/SFC-05-nominal/artifact.json,965fb7133bded642fe699013ba5f256d1f0fb6f5fa59234f9305f28613c7e4ed,339804102,True
SFC-05-disturbed,SFC,5,disturbed,complete,attempts/SFC-05-disturbed/artifact.json,71f68ecbed1a5df337143f34e7c2ede3533573cb51ca136f79602dfe4068e813,340290281,True
SFC-06-nominal,SFC,6,nominal,complete,attempts/SFC-06-nominal/artifact.json,6a870d9d70b3f9f81892af537852266755223312952b3dc724b41e1c5d0ef8df,339339788,True
SFC-06-disturbed,SFC,6,disturbed,complete,attempts/SFC-06-disturbed/artifact.json,2099693f44cba134503858677b3d71f2b96f7a62679ccb2f14419352efd178cb,340244325,True
SFC-07-nominal,SFC,7,nominal,complete,attempts/SFC-07-nominal/artifact.json,2bd0dafc6c3332b4ef9ce90b697a9319af53d2fa99b05821e28263ef5bd12b94,338392161,True
SFC-07-disturbed,SFC,7,disturbed,complete,attempts/SFC-07-disturbed/artifact.json,7e0b7469b10135cbc106facd00931c1f0c8b132b06128e7ce509d54998c82cae,339177931,True
DSFC-00-nominal,DSFC,0,nominal,complete,attempts/DSFC-00-nominal/artifact.json,e2c99ad28124832160b936b4334786440a81da031668e129fef0d883206ddd30,339324784,True
DSFC-00-disturbed,DSFC,0,disturbed,complete,attempts/DSFC-00-disturbed/artifact.json,80390b0948e4e4a5ec6e7005ad07de9dced9db78223e8e07b6509edb9ea6084e,339404496,True
