method,unit,condition,scheduled_phase,slot_state,attempt_id,status,artifact_parsed,artifact_sha256,reason,force_mae_n,force_rmse_n,force_peak_n,force_error_peak_n,load_min_n,path_rms_m,path_peak_m,progress_ratio,actual_progress_m,reference_progress_m,attitude_rms_rad,attitude_peak_rad,low_load_duration_s,saturation_ticks,qp_intervention_ticks,low_load_duration_definition
SFC,0,nominal,initial,completed_feasible,SFC-00-nominal,complete,True,e51055b6e96aec95671647c044e7100567a5dafa59343afd7afa0c3adea3e3a9,,0.11188810693038811,0.2629057889373793,6.2229208470709985,1.2229208470709985,3.8430835002299393,0.005433278689033889,0.008198691423808593,0.8546370428890967,0.1624841657717423,0.1901206683277679,0.0446786495194316,0.08793386435676538,0.0,0,120,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,0,disturbed,initial,completed_feasible,SFC-00-disturbed,complete,True,5d835eceb7996ad91e253029522b459c2a5b861d4cfb768c16fce8d6151392aa,,0.47674119664245423,0.9022303156021766,6.2229208470709985,3.575187860641054,1.4248121393589457,0.0070785307293931956,0.015526130891130373,0.8764786341118302,0.1666423723363796,0.19012713584883306,0.05534519349258227,0.10319676914783553,0.0,638,2466,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,1,nominal,initial,completed_feasible,SFC-01-nominal,complete,True,7943dd2ae88242eede493ea94bc24ca64a81da0dd4cd7906a89416ba6cafc714,,0.09718506912345974,0.22659824758374197,6.0233649423024405,1.0233649423024405,4.039837527928946,0.005473348594427759,0.008185211806418817,0.8524582232595659,0.1620700277320371,0.19012078634460922,0.04769489488022242,0.09379383427056559,0.0,0,92,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,1,disturbed,initial,completed_feasible,SFC-01-disturbed,complete,True,b2751ef469193cf86ddad09700ee581644b7f61c431b6c08489c8333ad37a5d9,,0.46257607184423233,0.8979199807511815,6.0233649423024405,3.6796156326815384,1.3203843673184614,0.00703748535657297,0.016551485423445284,0.8689372551318754,0.1652086684987095,0.19012727043638655,0.05210949249485563,0.09830172653931436,0.0,1121,2234,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,2,nominal,initial,completed_nominal_infeasible,SFC-02-nominal,complete,True,e8c852ef4b5db1f396f4ca95be8504d2e7a4922937824edb7f21a91d9bf3bb68,,0.11313619255555807,0.2573780385392511,6.141665463311146,1.1416654633111456,3.9376595337646476,0.00553513037589012,0.008344490129661266,0.846943968381901,0.1610217567126245,0.19012090849440602,0.056395580436336426,0.11197244932275698,0.0,0,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,2,disturbed,initial,completed_nominal_infeasible,SFC-02-disturbed,complete,True,00844745601772d8fbdbc785caf2977e353a6d0145db506c3051b9be43fee798,,0.47188810800773945,0.883626309841789,6.141665463311146,3.5118676620474734,1.4881323379525266,0.007257580489414662,0.015773980365831726,0.8627352514887834,0.16402973817977118,0.19012754827939676,0.05803578476227215,0.11197244932275698,0.0,1052,1999,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,3,nominal,initial,completed_nominal_and_disturbed_guard_infeasible,SFC-03-nominal,complete,True,ec804e9fd8c215a886eaa8bac9a1bbf151ffd3d68a05b2c692d58aa5556c43d6,,0.13533841233280755,0.3164160487371918,6.474312841876694,1.474312841876694,3.593814506865799,0.005496731049800218,0.008334052091989008,0.8512108062179564,0.161832842312538,0.19012075637477277,0.04948083661953684,0.09760022749941707,0.0,0,204,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,3,disturbed,initial,completed_nominal_and_disturbed_guard_infeasible,SFC-03-disturbed,complete,True,9b10e74288ab5fab023239f544679dc47c58e25a9d1653a678be6eba839efd5e,,0.5253914227694985,1.080064343023995,6.474312841876694,4.438408189313924,0.5615918106860763,0.007771413260053093,0.024065872018269305,0.8613213903985367,0.16376147959394582,0.19012819305250594,0.06596276486926417,0.13142577562342708,0.61,3123,1051,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,4,nominal,initial,completed_nominal_infeasible,SFC-04-nominal,complete,True,863c6bf56ee4219396ca9e763cb8129d2f929ac656227c39260262d381856c0d,,0.2510874628727247,0.4583342781172829,6.806078222377252,2.1335169977224138,2.8664830022775862,0.005406090887044303,0.009000922133060488,0.8711694349034743,0.16562695435614455,0.1901202541323044,0.027011459014932057,0.05709503662226519,0.0,0,532,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,4,disturbed,initial,completed_nominal_infeasible,SFC-04-disturbed,complete,True,7bbeeadc62fbb0c3d520258aaa4ff9b30075fc7a68170080d45099a20ffc1d4f,,0.5898314199070228,0.9647094018941155,6.806078222377252,3.3738806841186855,1.6261193158813145,0.006627346247498779,0.011436773686033044,0.8889715041611989,0.16901759613598322,0.1901271248232665,0.05564870860905356,0.11705202695154275,0.0,0,1895,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
