method,unit,scheduled_phase,literal_repeat,slot_state,budget_consumed,shared_initial_triple,coefficient_matched_pair,nominal_status,disturbed_status,nominal_feasible,disturbed_guards_ok,pair_feasible,objective,J,Jload,Jpath,Jatt,recovery_s,residual_displacement_m,postrelease_max_offset_m,m,mu,g
SFC,0,initial,False,completed_feasible,True,True,True,complete,complete,True,True,True,77.45319425340233,77.45319425340233,45.95804016841924,9.00085606581319,22.4942980191699,3.652000000000001,1.2802305567665072e-05,0.003418515452946853,4.0,393.0,0.052126826121414976
SFC,1,initial,False,completed_feasible,True,True,True,complete,complete,True,True,True,65.64753470850643,65.64753470850643,46.09498189255161,3.7667729838932145,15.785779832061612,0.0,6.859016600138805e-06,0.0018753530778004598,4.0,310.66177089084647,0.0642
SFC,2,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,68.05116046307418,68.05116046307418,45.21048231334306,5.266118277615072,17.57455987211605,2.146000000000001,8.78129260080393e-06,0.0020942374664849883,4.0,1228.1391393367705,0.08583341909109758
SFC,3,initial,False,completed_nominal_and_disturbed_guard_infeasible,True,True,True,complete,complete,False,False,False,96.74920450279919,96.74920450279919,49.35018718046672,16.26070828465158,31.138309037680887,3.794000000000004,0.00011039229273952631,0.0038998193050830184,13.20374583825469,43.19426238094313,0.15615429806676784
SFC,4,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,102.25201513844289,102.25201513844289,49.44150077484031,20.108442984883887,32.70207137871869,7.109999999999999,3.228201380472221e-05,0.0054844342465514995,5.318628389388323,729.0097584978811,0.02835595401982533
SFC,5,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,66.88780105191351,66.88780105191351,48.00519285586601,4.275777482752372,14.606830713295128,2.6940000000000026,9.109966430448238e-06,0.002239011060565404,7.644104387611151,249.36420361772792,0.07711120568140055
SFC,6,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,152.5412884705478,152.5412884705478,98.47004087330932,44.294094726361635,9.777152870876854,,0.0004797467744481128,0.013143822755164795,11.020339835435152,983.5695741547144,0.009344731645416986
SFC,7,initial,False,completed_nominal_and_disturbed_guard_infeasible,True,True,True,complete,complete,False,False,False,180.91020527211674,180.91020527211674,103.69853642548772,58.633455878296395,18.578212968332632,,0.003567480097324028,0.011024587308977546,12.060580734163523,186.1273012706193,0.01340957019628624
SFC,8,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,9,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,10,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,11,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,12,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,13,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,14,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,15,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,16,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,17,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,18,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,19,bayesian_ei,False,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,20,repeat_incumbent,True,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
SFC,21,repeat_incumbent,True,stopped_before_ei,False,False,False,,,,,,,,,,,,,,,,
