checkpoint,elapsed_end_s,elapsed_end_h,samples_cumulative,rate_hz_cumulative,samples_window,duration_window_s,rate_hz_window,Fx_N_mean,Fx_N_std,Fy_N_mean,Fy_N_std,Fz_N_mean,Fz_N_std,Mx_Nm_mean,Mx_Nm_std,My_Nm_mean,My_Nm_std,Mz_Nm_mean,Mz_Nm_std
1,899.9711557579576,0.2499919877105438,899987,1000.0176052776147,899987,899.9711557579576,1000.0176052776147,2.4322899291869557,0.013556132319943173,-1.100876236988012,0.012446228886203633,-0.9211482194625566,0.011883816054026414,0.05180161596341861,0.000332344109448733,-0.06375143719769574,0.0003322541049619557,0.06097273755602092,0.00033521762983332185
2,1799.977255670994,0.4999936821308317,1799980,1000.0015246464906,899993,899.9576748069958,1000.0392520603947,2.42733816537073,0.012575006452642253,-1.0986110724802638,0.012478523666666711,-0.9056139367696325,0.011002154761838284,0.0517036440097003,0.000333555665000407,-0.06376918691514889,0.00032766128088351044,0.060785857448995465,0.00031301508737949734
3,2699.9764678459615,0.7499934632905448,2699972,999.9983452278142,899992,899.9505612719804,1000.0460455605039,2.430570805466782,0.012370719179653964,-1.0923138436872657,0.012118423385524157,-0.8958154939013477,0.010627957608676861,0.051746202447031625,0.00032733842870051957,-0.0639401629259227,0.0003237377681634331,0.060779956801337805,0.00031317891502307717
4,3599.9878992079757,0.9999966386688821,3599965,999.9936390875145,899993,899.9623370490153,1000.0340713713479,2.4258936177674943,0.012708094248034261,-1.093582592162284,0.013436838122583462,-0.8891860853455804,0.010542083254880078,0.05168152863065713,0.0003484686873063137,-0.06396322335328784,0.0003255465367014732,0.060727149588429806,0.00031517614809710307
5,4499.991538640985,1.2499976496224958,4499958,999.9925469546561,899993,899.9542722760234,1000.0430329908637,2.4210439588356354,0.01296825816111696,-1.0999916719224372,0.012647028514979433,-0.884872359462336,0.01050204175685805,0.05149354292171149,0.00033608240862497796,-0.06390991841036439,0.00033008106323927083,0.0609044785164559,0.0003137782907601342
6,5399.995493575989,1.4999987482155523,5399952,999.9919456273545,899994,899.954295656993,1000.0441181771102,2.4175657890501596,0.012663831660487138,-1.0991310788309032,0.0116313154100539,-0.8794163267410139,0.010565288380047963,0.051477787373087044,0.0003203363548459747,-0.06388654326471288,0.00032753188092110385,0.06088939930795238,0.00031329581387010515
7,6299.998645399988,1.7499996237222188,6299946,999.9916435855067,899994,899.953826137993,1000.0446399146714,2.4204378570373573,0.01446220475847416,-1.0918477434305895,0.013425744277881464,-0.8747465505681005,0.01051580204604831,0.05160042423535145,0.00034783056022511904,-0.06399025307442728,0.0003483087656421551,0.06093244038015642,0.00031519214942400133
8,7199.951092429983,1.9999864145638842,7199888,999.9912371029785,899942,899.9035471180105,1000.0427300038017,2.4195041152468706,0.013242642812000356,-1.0956817607955291,0.014135140651391171,-0.8738089410197857,0.010455651286609653,0.051525042437732885,0.00035785325939583873,-0.06406271127339883,0.0003373379027099997,0.06094937147017218,0.00031355640299908424
9,8099.954180661996,2.24998727240611,8099882,999.9910887567527,899994,899.9538324290188,1000.0446329239721,2.4233298124379714,0.013489462799730451,-1.092307851031207,0.014270156511028599,-0.8734975813537574,0.010479489006897788,0.05160686338009066,0.0003625210396432038,-0.06421887943943393,0.00034518539933942077,0.06101335198595703,0.00031415293898526795
10,8999.955188239983,2.499987552288884,8999875,999.9910901511946,899993,899.9523471050197,1000.0451722750777,2.427802719294571,0.012751913506091082,-1.0856046579192393,0.012715178441794631,-0.874332541817336,0.010557762994626085,0.05176867216919067,0.0003378950836437931,-0.0643975211044517,0.00032901275000324994,0.06106019469469985,0.0003144314824711624
